vehicle_id,type,total_passengers,avg_occupancy,max_occupancy,occupancy_rate,total_boardings,total_alightings,stations_served,idle_time,service_time
MINIBUS_1,Minibus,17,4.117839593095829,6,0.6863065988493049,17,12,7,0.0,1466.399974822998
MINIBUS_3,Minibus,22,3.7459145638396785,6,0.6243190939732798,22,19,12,0.0,1138.2000122070312
BUS_6_DIR4_T66329.0,Bus,44,14.577620967741936,31,0.1822202620967742,44,24,8,77.0,915.0
MINIBUS_2,Minibus,19,4.133024461508728,6,0.6888374102514546,19,13,8,0.0,906.5999908447266
BUS_6_DIR5_T66326.0,Bus,33,12.867892976588628,33,0.16084866220735786,33,0,7,91.0,507.0
BUS_2_DIR4_T62521.0,Bus,57,17.229805013927578,40,0.21537256267409471,57,17,5,0.0,718.0
BUS_2_DIR4_T62529.0,Bus,10,5.606770833333333,10,0.07008463541666667,10,0,4,0.0,384.0
BUS_2_DIR3_T62506.0,Bus,11,7.647540983606557,11,0.09559426229508197,11,0,4,0.0,366.0
BUS_6_DIR4_T66337.0,Bus,0,0.0,0,0.0,0,0,1,0.0,0.0
