================================================================================
MINIBUS TRAVEL TIME DEBUG LOG
================================================================================

[ARRIVE         ] MINIBUS_2:    8589161 -> 8589158    | travel= 502.2s | occ= 1/8 | t= 2674.8s | arrive= 3177.0s
[UPDATE_ROUTE   ] MINIBUS_1:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t= 3000.0s | arrive= 3000.0s
[UPDATE_ROUTE   ] MINIBUS_3:    8589158 -> 8589161    | travel= 496.2s | occ= 0/8 | t= 3000.0s | arrive= 3496.2s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8589161    | travel=  91.8s | occ= 2/8 | t= 3000.0s | arrive= 3091.8s
[ARRIVE         ] MINIBUS_1:    8589161 -> 8587255    | travel=  90.0s | occ= 3/8 | t= 3091.8s | arrive= 3181.8s
[ARRIVE         ] MINIBUS_1:    8587255 -> 8592375    | travel= 385.8s | occ= 2/8 | t= 3181.8s | arrive= 3567.6s
[UPDATE_ROUTE   ] MINIBUS_2:    8589158 -> 8589158    | travel=   0.0s | occ= 0/8 | t= 3300.0s | arrive= 3300.0s
[ARRIVE         ] MINIBUS_2:    8589158 -> 8589138    | travel= 115.2s | occ= 1/8 | t= 3300.0s | arrive= 3415.2s
[ARRIVE         ] MINIBUS_2:    8589138 -> 8591766    | travel=  55.2s | occ= 2/8 | t= 3415.2s | arrive= 3470.4s
[ARRIVE         ] MINIBUS_2:    8591766 -> 8592374    | travel= 477.0s | occ= 3/8 | t= 3470.4s | arrive= 3947.4s
[UPDATE_ROUTE   ] MINIBUS_1:    8592375 -> 8592374    | travel= 324.0s | occ= 0/8 | t= 3600.0s | arrive= 3924.0s
[UPDATE_ROUTE   ] MINIBUS_3:    8589161 -> 8592374    | travel= 100.2s | occ= 0/8 | t= 3600.0s | arrive= 3700.2s
[UPDATE_ROUTE   ] MINIBUS_4:    8589158 -> 8589158    | travel=   0.0s | occ= 0/8 | t= 3600.0s | arrive= 3600.0s
[UPDATE_ROUTE   ] MINIBUS_5:    8504622 -> 8589131    | travel= 550.2s | occ= 1/8 | t= 3600.0s | arrive= 4150.2s
[ARRIVE         ] MINIBUS_4:    8589158 -> 8589141    | travel= 229.2s | occ= 1/8 | t= 3600.0s | arrive= 3829.2s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8592377    | travel= 379.8s | occ= 1/8 | t= 3700.2s | arrive= 4080.0s
[ARRIVE         ] MINIBUS_4:    8589141 -> 8589161    | travel= 538.8s | occ= 2/8 | t= 3829.2s | arrive= 4368.0s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8589161    | travel=  91.8s | occ= 1/8 | t= 3924.0s | arrive= 4015.8s
[ARRIVE         ] MINIBUS_1:    8589161 -> 8589270    | travel= 420.0s | occ= 2/8 | t= 4015.8s | arrive= 4435.8s
[ARRIVE         ] MINIBUS_3:    8592377 -> 8589161    | travel= 394.2s | occ= 0/8 | t= 4080.0s | arrive= 4474.2s
[ARRIVE         ] MINIBUS_5:    8589131 -> 8592374    | travel= 496.2s | occ= 2/8 | t= 4150.2s | arrive= 4646.4s
[UPDATE_ROUTE   ] MINIBUS_2:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t= 4200.0s | arrive= 4200.0s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8589161    | travel=  91.8s | occ= 1/8 | t= 4200.0s | arrive= 4291.8s
[ARRIVE         ] MINIBUS_2:    8589161 -> 8592375    | travel= 295.8s | occ= 2/8 | t= 4291.8s | arrive= 4587.6s
[ARRIVE         ] MINIBUS_4:    8589161 -> 8592374    | travel= 100.2s | occ= 1/8 | t= 4368.0s | arrive= 4468.2s
[ARRIVE         ] MINIBUS_1:    8589270 -> 8589161    | travel= 439.2s | occ= 1/8 | t= 4435.8s | arrive= 4875.0s
[ARRIVE         ] MINIBUS_3:    8589161 -> 8592374    | travel= 100.2s | occ= 0/8 | t= 4474.2s | arrive= 4574.4s
[UPDATE_ROUTE   ] MINIBUS_4:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t= 4500.0s | arrive= 4500.0s
[ARRIVE         ] MINIBUS_4:    8592374 -> 8589161    | travel=  91.8s | occ= 3/8 | t= 4500.0s | arrive= 4591.8s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8577741    | travel= 366.0s | occ= 2/8 | t= 4574.4s | arrive= 4940.4s
[ARRIVE         ] MINIBUS_2:    8592375 -> 8577786    | travel= 256.8s | occ= 1/8 | t= 4587.6s | arrive= 4844.4s
