================================================================================
MINIBUS TRAVEL TIME DEBUG LOG
================================================================================

[UPDATE_ROUTE   ] MINIBUS_4:    8587238 -> 8592374    | travel= 322.2s | occ= 1/8 | t=11400.0s | arrive=11722.2s
[ARRIVE         ] MINIBUS_3:    8588344 -> 8592374    | travel= 511.2s | occ= 3/8 | t=11472.0s | arrive=11983.2s
[ARRIVE         ] MINIBUS_1:    8504622 -> 8589270    | travel=  37.2s | occ= 1/8 | t=11578.8s | arrive=11616.0s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8577741    | travel= 366.0s | occ= 3/8 | t=11590.2s | arrive=11956.2s
[UPDATE_ROUTE   ] MINIBUS_1:    8589270 -> 8589158    | travel=  78.0s | occ= 0/8 | t=11700.0s | arrive=11778.0s
[UPDATE_ROUTE   ] MINIBUS_5:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=11700.0s | arrive=11700.0s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8589161    | travel=  91.8s | occ= 1/8 | t=11700.0s | arrive=11791.8s
[ARRIVE         ] MINIBUS_4:    8592374 -> 8589158    | travel= 588.0s | occ= 1/8 | t=11722.2s | arrive=12310.2s
[ARRIVE         ] MINIBUS_1:    8589158 -> 8589138    | travel= 115.2s | occ= 2/8 | t=11778.0s | arrive=11893.2s
[ARRIVE         ] MINIBUS_5:    8589161 -> 8592375    | travel= 295.8s | occ= 2/8 | t=11791.8s | arrive=12087.6s
[ARRIVE         ] MINIBUS_1:    8589138 -> 8591766    | travel=  55.2s | occ= 3/8 | t=11893.2s | arrive=11948.4s
[ARRIVE         ] MINIBUS_1:    8591766 -> 8592374    | travel= 477.0s | occ= 4/8 | t=11948.4s | arrive=12425.4s
[ARRIVE         ] MINIBUS_2:    8577741 -> 8589154    | travel=  70.2s | occ= 2/8 | t=11956.2s | arrive=12026.4s
[UPDATE_ROUTE   ] MINIBUS_3:    8592374 -> 8592374    | travel=   0.0s | occ= 1/8 | t=12000.0s | arrive=12000.0s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8589161    | travel=  91.8s | occ= 4/8 | t=12000.0s | arrive=12091.8s
[ARRIVE         ] MINIBUS_2:    8589154 -> 8592374    | travel= 136.8s | occ= 1/8 | t=12026.4s | arrive=12163.2s
[ARRIVE         ] MINIBUS_5:    8592375 -> 8589131    | travel= 367.2s | occ= 1/8 | t=12087.6s | arrive=12454.8s
[ARRIVE         ] MINIBUS_3:    8589161 -> 8589138    | travel= 424.8s | occ= 5/8 | t=12091.8s | arrive=12516.6s
[UPDATE_ROUTE   ] MINIBUS_2:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=12300.0s | arrive=12300.0s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8577786    | travel= 367.2s | occ= 3/8 | t=12300.0s | arrive=12667.2s
[ARRIVE         ] MINIBUS_3:    8589138 -> 8589158    | travel= 144.0s | occ= 4/8 | t=12516.6s | arrive=12660.6s
[UPDATE_ROUTE   ] MINIBUS_1:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=12600.0s | arrive=12600.0s
[UPDATE_ROUTE   ] MINIBUS_4:    8589158 -> 8591766    | travel=  87.0s | occ= 0/8 | t=12600.0s | arrive=12687.0s
[UPDATE_ROUTE   ] MINIBUS_5:    8589131 -> 8589130    | travel= 192.0s | occ= 0/8 | t=12600.0s | arrive=12792.0s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8577820    | travel= 202.8s | occ= 1/8 | t=12600.0s | arrive=12802.8s
[ARRIVE         ] MINIBUS_3:    8589158 -> 8504622    | travel=  85.2s | occ= 1/8 | t=12660.6s | arrive=12745.8s
[ARRIVE         ] MINIBUS_2:    8577786 -> 8592377    | travel= 159.0s | occ= 1/8 | t=12667.2s | arrive=12826.2s
[ARRIVE         ] MINIBUS_4:    8591766 -> 8589161    | travel= 397.2s | occ= 1/8 | t=12687.0s | arrive=13084.2s
[ARRIVE         ] MINIBUS_5:    8589130 -> 8577786    | travel= 241.8s | occ= 1/8 | t=12792.0s | arrive=13033.8s
[ARRIVE         ] MINIBUS_1:    8577820 -> 8577820    | travel=   0.0s | occ= 0/8 | t=12802.8s | arrive=12802.8s
[ARRIVE         ] MINIBUS_1:    8577820 -> 8592374    | travel= 216.0s | occ= 1/8 | t=12802.8s | arrive=13018.8s
[UPDATE_ROUTE   ] MINIBUS_2:    8592377 -> 8592378    | travel= 117.0s | occ= 0/8 | t=12900.0s | arrive=13017.0s
[UPDATE_ROUTE   ] MINIBUS_3:    8504622 -> 8589141    | travel= 138.0s | occ= 0/8 | t=12900.0s | arrive=13038.0s
[ARRIVE         ] MINIBUS_2:    8592378 -> 8592377    | travel=  58.2s | occ= 1/8 | t=13017.0s | arrive=13075.2s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=13018.8s | arrive=13018.8s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8589152    | travel= 562.8s | occ= 1/8 | t=13018.8s | arrive=13581.6s
[ARRIVE         ] MINIBUS_5:    8577786 -> 8592374    | travel= 357.0s | occ= 2/8 | t=13033.8s | arrive=13390.8s
[ARRIVE         ] MINIBUS_3:    8589141 -> 8589138    | travel=  90.0s | occ= 1/8 | t=13038.0s | arrive=13128.0s
[ARRIVE         ] MINIBUS_2:    8592377 -> 8577785    | travel= 112.8s | occ= 2/8 | t=13075.2s | arrive=13188.0s
[ARRIVE         ] MINIBUS_4:    8589161 -> 8592374    | travel= 100.2s | occ= 2/8 | t=13084.2s | arrive=13184.4s
[ARRIVE         ] MINIBUS_3:    8589138 -> 8589161    | travel= 447.0s | occ= 2/8 | t=13128.0s | arrive=13575.0s
[ARRIVE         ] MINIBUS_2:    8577785 -> 8592374    | travel= 349.2s | occ= 3/8 | t=13188.0s | arrive=13537.2s
[UPDATE_ROUTE   ] MINIBUS_4:    8592374 -> 8589155    | travel= 298.8s | occ= 1/8 | t=13200.0s | arrive=13498.8s
[ARRIVE         ] MINIBUS_4:    8589155 -> 8592374    | travel=  57.0s | occ= 2/8 | t=13498.8s | arrive=13555.8s
[UPDATE_ROUTE   ] MINIBUS_5:    8592374 -> 8592374    | travel=   0.0s | occ= 1/8 | t=13500.0s | arrive=13500.0s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8577741    | travel= 366.0s | occ= 3/8 | t=13500.0s | arrive=13866.0s
[ARRIVE         ] MINIBUS_4:    8592374 -> 8589141    | travel= 601.2s | occ= 1/8 | t=13555.8s | arrive=14157.0s
[ARRIVE         ] MINIBUS_3:    8589161 -> 8592374    | travel= 100.2s | occ= 1/8 | t=13575.0s | arrive=13675.2s
[UPDATE_ROUTE   ] MINIBUS_1:    8589152 -> 8589141    | travel=  43.2s | occ= 0/8 | t=13800.0s | arrive=13843.2s
[UPDATE_ROUTE   ] MINIBUS_2:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=13800.0s | arrive=13800.0s
[UPDATE_ROUTE   ] MINIBUS_3:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=13800.0s | arrive=13800.0s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8577786    | travel= 367.2s | occ= 3/8 | t=13800.0s | arrive=14167.2s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8588858    | travel= 306.0s | occ= 1/8 | t=13800.0s | arrive=14106.0s
[ARRIVE         ] MINIBUS_1:    8589141 -> 8589138    | travel=  90.0s | occ= 1/8 | t=13843.2s | arrive=13933.2s
[ARRIVE         ] MINIBUS_5:    8577741 -> 8589154    | travel=  70.2s | occ= 4/8 | t=13866.0s | arrive=13936.2s
[ARRIVE         ] MINIBUS_1:    8589138 -> 8589161    | travel= 447.0s | occ= 2/8 | t=13933.2s | arrive=14380.2s
[ARRIVE         ] MINIBUS_5:    8589154 -> 8592374    | travel= 136.8s | occ= 2/8 | t=13936.2s | arrive=14073.0s
[UPDATE_ROUTE   ] MINIBUS_5:    8592374 -> 8592374    | travel=   0.0s | occ= 1/8 | t=14100.0s | arrive=14100.0s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8592375    | travel= 306.0s | occ= 2/8 | t=14100.0s | arrive=14406.0s
[ARRIVE         ] MINIBUS_3:    8588858 -> 8592374    | travel= 100.8s | occ= 0/8 | t=14106.0s | arrive=14206.8s
[ARRIVE         ] MINIBUS_2:    8577786 -> 8587238    | travel= 201.0s | occ= 2/8 | t=14167.2s | arrive=14368.2s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8589152    | travel= 562.8s | occ= 2/8 | t=14206.8s | arrive=14769.6s
[ARRIVE         ] MINIBUS_1:    8589161 -> 8587255    | travel=  90.0s | occ= 1/8 | t=14380.2s | arrive=14470.2s
[UPDATE_ROUTE   ] MINIBUS_4:    8589141 -> 8589141    | travel=   0.0s | occ= 0/8 | t=14400.0s | arrive=14400.0s
[ARRIVE         ] MINIBUS_4:    8589141 -> 8589161    | travel= 538.8s | occ= 2/8 | t=14400.0s | arrive=14938.8s
[ARRIVE         ] MINIBUS_5:    8592375 -> 8592374    | travel= 324.0s | occ= 1/8 | t=14406.0s | arrive=14730.0s
[ARRIVE         ] MINIBUS_1:    8587255 -> 8592374    | travel= 190.2s | occ= 2/8 | t=14470.2s | arrive=14660.4s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=14660.4s | arrive=14660.4s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8587255    | travel= 175.8s | occ= 1/8 | t=14660.4s | arrive=14836.2s
[UPDATE_ROUTE   ] MINIBUS_2:    8587238 -> 8592374    | travel= 322.2s | occ= 0/8 | t=14700.0s | arrive=15022.2s
[ARRIVE         ] MINIBUS_3:    8589152 -> 8589141    | travel=  43.2s | occ= 1/8 | t=14769.6s | arrive=14812.8s
[ARRIVE         ] MINIBUS_1:    8587255 -> 8592374    | travel= 190.2s | occ= 0/8 | t=14836.2s | arrive=15026.4s
[ARRIVE         ] MINIBUS_4:    8589161 -> 8589141    | travel= 517.2s | occ= 0/8 | t=14938.8s | arrive=15456.0s
[UPDATE_ROUTE   ] MINIBUS_3:    8589141 -> 8589141    | travel=   0.0s | occ= 0/8 | t=15000.0s | arrive=15000.0s
[UPDATE_ROUTE   ] MINIBUS_5:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=15000.0s | arrive=15000.0s
[ARRIVE         ] MINIBUS_3:    8589141 -> 8589161    | travel= 538.8s | occ= 1/8 | t=15000.0s | arrive=15538.8s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8577786    | travel= 367.2s | occ= 3/8 | t=15000.0s | arrive=15367.2s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8589161    | travel=  91.8s | occ= 2/8 | t=15026.4s | arrive=15118.2s
[ARRIVE         ] MINIBUS_1:    8589161 -> 8592377    | travel= 364.8s | occ= 3/8 | t=15118.2s | arrive=15483.0s
[UPDATE_ROUTE   ] MINIBUS_2:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=15300.0s | arrive=15300.0s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8504622    | travel= 478.8s | occ= 2/8 | t=15300.0s | arrive=15778.8s
[ARRIVE         ] MINIBUS_5:    8577786 -> 8587238    | travel= 201.0s | occ= 2/8 | t=15367.2s | arrive=15568.2s
[ARRIVE         ] MINIBUS_4:    8589141 -> 8589161    | travel= 538.8s | occ= 0/8 | t=15456.0s | arrive=15994.8s
[ARRIVE         ] MINIBUS_1:    8592377 -> 8577786    | travel= 181.2s | occ= 2/8 | t=15483.0s | arrive=15664.2s
[UPDATE_ROUTE   ] MINIBUS_3:    8589161 -> 8592374    | travel= 100.2s | occ= 0/8 | t=15600.0s | arrive=15700.2s
[UPDATE_ROUTE   ] MINIBUS_5:    8587238 -> 8588344    | travel= 474.0s | occ= 0/8 | t=15600.0s | arrive=16074.0s
[ARRIVE         ] MINIBUS_1:    8577786 -> 8589130    | travel= 237.0s | occ= 1/8 | t=15664.2s | arrive=15901.2s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8589161    | travel=  91.8s | occ= 1/8 | t=15700.2s | arrive=15792.0s
[ARRIVE         ] MINIBUS_2:    8504622 -> 8589141    | travel= 138.0s | occ= 1/8 | t=15778.8s | arrive=15916.8s
[ARRIVE         ] MINIBUS_3:    8589161 -> 8592375    | travel= 295.8s | occ= 2/8 | t=15792.0s | arrive=16087.8s
[ARRIVE         ] MINIBUS_5:    8588344 -> 8587238    | travel= 315.0s | occ= 1/8 | t=16074.0s | arrive=16389.0s
[ARRIVE         ] MINIBUS_3:    8592375 -> 8577785    | travel= 183.0s | occ= 1/8 | t=16087.8s | arrive=16270.8s
[UPDATE_ROUTE   ] MINIBUS_2:    8589141 -> 8589158    | travel= 238.2s | occ= 0/8 | t=16200.0s | arrive=16438.2s
[UPDATE_ROUTE   ] MINIBUS_4:    8589161 -> 8592374    | travel= 100.2s | occ= 0/8 | t=16200.0s | arrive=16300.2s
[ARRIVE         ] MINIBUS_4:    8592374 -> 8504622    | travel= 478.8s | occ= 3/8 | t=16300.2s | arrive=16779.0s
[ARRIVE         ] MINIBUS_5:    8587238 -> 8592374    | travel= 322.2s | occ= 2/8 | t=16389.0s | arrive=16711.2s
[ARRIVE         ] MINIBUS_2:    8589158 -> 8591766    | travel=  87.0s | occ= 2/8 | t=16438.2s | arrive=16525.2s
[UPDATE_ROUTE   ] MINIBUS_1:    8589130 -> 8588344    | travel= 297.0s | occ= 0/8 | t=16500.0s | arrive=16797.0s
[UPDATE_ROUTE   ] MINIBUS_3:    8577785 -> 8592374    | travel= 349.2s | occ= 0/8 | t=16500.0s | arrive=16849.2s
[ARRIVE         ] MINIBUS_2:    8591766 -> 8592374    | travel= 477.0s | occ= 3/8 | t=16525.2s | arrive=17002.2s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=16711.2s | arrive=16711.2s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8587255    | travel= 175.8s | occ= 2/8 | t=16711.2s | arrive=16887.0s
[ARRIVE         ] MINIBUS_4:    8504622 -> 8589158    | travel= 115.8s | occ= 2/8 | t=16779.0s | arrive=16894.8s
[ARRIVE         ] MINIBUS_1:    8588344 -> 8592374    | travel= 511.2s | occ= 2/8 | t=16797.0s | arrive=17308.2s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8589161    | travel=  91.8s | occ= 1/8 | t=16849.2s | arrive=16941.0s
[ARRIVE         ] MINIBUS_5:    8587255 -> 8589158    | travel= 418.2s | occ= 1/8 | t=16887.0s | arrive=17305.2s
[ARRIVE         ] MINIBUS_4:    8589158 -> 8589141    | travel= 229.2s | occ= 1/8 | t=16894.8s | arrive=17124.0s
[ARRIVE         ] MINIBUS_3:    8589161 -> 8577786    | travel= 351.0s | occ= 3/8 | t=16941.0s | arrive=17292.0s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8587255    | travel= 175.8s | occ= 0/8 | t=17002.2s | arrive=17178.0s
[ARRIVE         ] MINIBUS_2:    8587255 -> 8592374    | travel= 190.2s | occ= 1/8 | t=17178.0s | arrive=17368.2s
[ARRIVE         ] MINIBUS_3:    8577786 -> 8589131    | travel= 114.0s | occ= 2/8 | t=17292.0s | arrive=17406.0s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=17368.2s | arrive=17368.2s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8588858    | travel= 306.0s | occ= 2/8 | t=17368.2s | arrive=17674.2s
[UPDATE_ROUTE   ] MINIBUS_1:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=17400.0s | arrive=17400.0s
[UPDATE_ROUTE   ] MINIBUS_4:    8589141 -> 8589141    | travel=   0.0s | occ= 0/8 | t=17400.0s | arrive=17400.0s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8589161    | travel=  91.8s | occ= 1/8 | t=17400.0s | arrive=17491.8s
[ARRIVE         ] MINIBUS_4:    8589141 -> 8587255    | travel= 442.8s | occ= 1/8 | t=17400.0s | arrive=17842.8s
[ARRIVE         ] MINIBUS_3:    8589131 -> 8577786    | travel= 174.0s | occ= 1/8 | t=17406.0s | arrive=17580.0s
[ARRIVE         ] MINIBUS_1:    8589161 -> 8592377    | travel= 364.8s | occ= 2/8 | t=17491.8s | arrive=17856.6s
[ARRIVE         ] MINIBUS_3:    8577786 -> 8592374    | travel= 357.0s | occ= 2/8 | t=17580.0s | arrive=17937.0s
[ARRIVE         ] MINIBUS_2:    8588858 -> 8589154    | travel=  46.8s | occ= 1/8 | t=17674.2s | arrive=17721.0s
[UPDATE_ROUTE   ] MINIBUS_5:    8589158 -> 8589158    | travel=   0.0s | occ= 0/8 | t=17700.0s | arrive=17700.0s
[ARRIVE         ] MINIBUS_5:    8589158 -> 8592374    | travel= 583.8s | occ= 1/8 | t=17700.0s | arrive=18283.8s
[ARRIVE         ] MINIBUS_2:    8589154 -> 8592374    | travel= 136.8s | occ= 0/8 | t=17721.0s | arrive=17857.8s
[ARRIVE         ] MINIBUS_4:    8587255 -> 8589161    | travel= 105.0s | occ= 1/8 | t=17842.8s | arrive=17947.8s
[ARRIVE         ] MINIBUS_1:    8592377 -> 8589131    | travel= 294.0s | occ= 1/8 | t=17856.6s | arrive=18150.6s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8577785    | travel= 352.2s | occ= 4/8 | t=17857.8s | arrive=18210.0s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8577785    | travel= 352.2s | occ= 1/8 | t=17937.0s | arrive=18289.2s
[ARRIVE         ] MINIBUS_4:    8589161 -> 8589161    | travel=   0.0s | occ= 0/8 | t=17947.8s | arrive=17947.8s
[ARRIVE         ] MINIBUS_4:    8589161 -> 8504622    | travel= 394.8s | occ= 1/8 | t=17947.8s | arrive=18342.6s
[ARRIVE         ] MINIBUS_2:    8577785 -> 8588344    | travel= 261.0s | occ= 2/8 | t=18210.0s | arrive=18471.0s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8589158    | travel= 588.0s | occ= 0/8 | t=18283.8s | arrive=18871.8s
[ARRIVE         ] MINIBUS_2:    8588344 -> 8589130    | travel= 259.8s | occ= 1/8 | t=18471.0s | arrive=18730.8s
